word,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
render,0.958,0.914,0.862,0.827,0.828,0.821,0.807,0.757,0.732,0.778,0.813,0.863,0.8
one,0.934,0.899,0.821,0.705,0.651,0.612,0.578,0.523,0.509,0.539,0.594,0.706,0.602
language,0.946,0.91,0.852,0.8,0.76,0.735,0.72,0.715,0.729,0.757,0.787,0.851,0.775
in,0.911,0.878,0.81,0.733,0.713,0.727,0.68,0.576,0.526,0.562,0.621,0.716,0.614
another,0.942,0.91,0.858,0.793,0.757,0.751,0.717,0.673,0.63,0.637,0.671,0.75,0.653
rest,0.959,0.92,0.817,0.741,0.668,0.63,0.603,0.574,0.568,0.601,0.654,0.744,0.593
##ate,0.956,0.926,0.886,0.836,0.799,0.729,0.664,0.61,0.584,0.622,0.674,0.778,0.678
words,0.937,0.901,0.855,0.802,0.774,0.757,0.747,0.729,0.718,0.733,0.757,0.82,0.714
from,0.915,0.896,0.838,0.772,0.751,0.73,0.654,0.565,0.508,0.542,0.592,0.694,0.601
into,0.938,0.912,0.847,0.797,0.773,0.765,0.71,0.609,0.547,0.557,0.588,0.673,0.576
nations,0.938,0.906,0.885,0.85,0.843,0.83,0.812,0.797,0.798,0.815,0.834,0.878,0.809
by,0.92,0.897,0.834,0.76,0.732,0.714,0.674,0.586,0.534,0.562,0.61,0.71,0.609
shared,0.967,0.94,0.909,0.88,0.86,0.84,0.822,0.8,0.763,0.773,0.806,0.858,0.797
interests,0.945,0.909,0.866,0.824,0.787,0.795,0.78,0.77,0.758,0.775,0.794,0.858,0.786
history,0.937,0.906,0.868,0.82,0.795,0.783,0.763,0.75,0.721,0.729,0.741,0.809,0.732
or,0.931,0.905,0.863,0.807,0.767,0.743,0.706,0.626,0.628,0.665,0.698,0.776,0.706
institutions,0.934,0.929,0.904,0.891,0.875,0.87,0.862,0.849,0.839,0.845,0.857,0.896,0.849
a,0.908,0.883,0.838,0.79,0.772,0.771,0.739,0.65,0.619,0.643,0.673,0.749,0.638
group,0.94,0.886,0.848,0.795,0.782,0.775,0.768,0.749,0.747,0.764,0.788,0.85,0.765
of,0.902,0.885,0.845,0.743,0.724,0.715,0.659,0.545,0.494,0.545,0.599,0.694,0.603
having,0.934,0.891,0.838,0.733,0.711,0.698,0.69,0.643,0.611,0.643,0.674,0.762,0.618
common,0.945,0.91,0.847,0.791,0.749,0.726,0.698,0.662,0.637,0.668,0.707,0.783,0.685
convert,0.954,0.889,0.85,0.823,0.813,0.796,0.807,0.787,0.764,0.79,0.807,0.848,0.622
absorb,0.935,0.907,0.863,0.816,0.801,0.777,0.774,0.748,0.729,0.768,0.806,0.871,0.789
##able,0.964,0.932,0.895,0.845,0.835,0.793,0.759,0.723,0.684,0.719,0.762,0.835,0.744
as,0.92,0.884,0.802,0.687,0.655,0.64,0.585,0.505,0.468,0.511,0.565,0.675,0.564
if,0.934,0.901,0.844,0.777,0.733,0.697,0.652,0.595,0.563,0.567,0.597,0.681,0.542
with,0.915,0.89,0.841,0.775,0.757,0.75,0.694,0.603,0.544,0.58,0.632,0.729,0.62
heat,0.946,0.91,0.861,0.797,0.762,0.734,0.722,0.711,0.685,0.71,0.74,0.819,0.733
