word,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
render,0.016,0.042,0.065,0.059,0.062,0.061,0.086,0.09,0.052,0.024,0.004,0.077
one,0.002,0.003,0.003,0.004,0.005,0.006,0.007,0.007,0.007,0.008,0.013,0.009
language,0.001,0.003,0.005,0.006,0.007,0.007,0.01,0.009,0.007,0.008,0.012,0.01
in,0.005,0.005,0.006,0.006,0.006,0.007,0.009,0.012,0.015,0.015,0.018,0.007
another,0.003,0.005,0.008,0.007,0.008,0.008,0.012,0.013,0.011,0.01,0.012,0.018
rest,0.004,0.004,0.005,0.005,0.007,0.014,0.016,0.017,0.017,0.014,0.017,0.043
##ate,0.002,0.004,0.006,0.007,0.012,0.02,0.021,0.022,0.021,0.018,0.016,0.005
words,0.004,0.006,0.006,0.004,0.004,0.005,0.006,0.009,0.01,0.011,0.019,0.026
from,0.006,0.005,0.005,0.005,0.004,0.006,0.007,0.007,0.009,0.01,0.012,0.005
into,0.006,0.007,0.009,0.011,0.012,0.012,0.013,0.015,0.018,0.023,0.031,0.013
nations,0.004,0.005,0.007,0.009,0.009,0.01,0.016,0.017,0.02,0.017,0.013,0.015
by,0.003,0.003,0.004,0.006,0.006,0.008,0.008,0.009,0.011,0.011,0.014,0.007
shared,0.011,0.015,0.033,0.035,0.049,0.044,0.049,0.051,0.044,0.043,0.053,0.038
interests,0.001,0.004,0.005,0.006,0.007,0.006,0.009,0.009,0.009,0.011,0.012,0.012
history,0.002,0.005,0.007,0.009,0.01,0.01,0.012,0.01,0.009,0.012,0.02,0.016
or,0.005,0.005,0.009,0.014,0.014,0.015,0.015,0.016,0.016,0.016,0.02,0.012
institutions,0.005,0.009,0.02,0.019,0.018,0.015,0.016,0.013,0.01,0.009,0.009,0.014
a,0.004,0.006,0.006,0.009,0.01,0.011,0.015,0.016,0.016,0.014,0.012,0.022
group,0.007,0.017,0.028,0.029,0.025,0.025,0.029,0.03,0.025,0.018,0.013,0.02
of,0.003,0.003,0.003,0.005,0.004,0.007,0.008,0.009,0.01,0.009,0.015,0.005
