word,layer_1,layer_2
render,0.043,0.088
one,0.006,0.007
language,0.048,0.021
in,0.006,0.006
another,0.037,0.021
words,0.011,0.011
from,0.006,0.011
into,0.005,0.011
nations,0.01,0.012
by,0.008,0.007
shared,0.09,0.111
interests,0.018,0.015
history,0.072,0.071
or,0.006,0.009
institutions,0.048,0.047
a,0.008,0.008
group,0.075,0.091
of,0.004,0.008
having,0.005,0.01
common,0.01,0.011
convert,0.014,0.012
as,0.015,0.011
if,0.006,0.005
with,0.01,0.01
heat,0.023,0.034
chemical,0.012,0.022
process,0.027,0.021
means,0.004,0.017
action,0.015,0.012
adapt,0.073,0.033
to,0.006,0.018
an,0.003,0.004
study,0.032,0.042
work,0.017,0.016
oneself,0.018,0.046
special,0.013,0.012
area,0.042,0.034
wooden,0.027,0.034
porch,0.102,0.06
house,0.041,0.036
that,0.026,0.027
the,0.002,0.004
deck,0.046,0.018
on,0.009,0.012
ship,0.036,0.045
either,0.013,0.022
half,0.015,0.014
bow,0.015,0.009
two,0.007,0.008
handle,0.016,0.025
device,0.03,0.02
is,0.016,0.031
larger,0.021,0.017
object,0.028,0.03
supplementary,0.025,0.115
part,0.017,0.016
confine,0.108,0.129
place,0.034,0.029
limits,0.027,0.026
extent,0.013,0.022
access,0.031,0.026
be,0.003,0.004
opposite,0.048,0.068
Bring,0.037,0.004
back,0.017,0.017
life,0.028,0.018
return,0.009,0.008
dead,0.07,0.082
cause,0.071,0.036
become,0.008,0.008
alive,0.048,0.03
again,0.041,0.032
anything,0.009,0.014
not,0.008,0.007
concrete,0.008,0.007
real,0.024,0.044
something,0.028,0.031
no,0.01,0.017
substance,0.049,0.03
name,0.024,0.026
trait,0.034,0.012
product,0.041,0.021
type,0.028,0.017
thing,0.021,0.013
given,0.007,0.017
service,0.027,0.02
processing,0.046,0.025
operation,0.028,0.025
set,0.015,0.007
sequence,0.007,0.005
steps,0.047,0.085
computer,0.014,0.009
program,0.023,0.021
line,0.038,0.031
cover,0.045,0.033
front,0.077,0.05
