word,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
render,0.173,0.989,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.994,0.972
one,0.022,0.92,0.994,0.991,0.989,0.985,0.981,0.973,0.963,0.945,0.856,0.722
language,0.039,0.019,0.023,0.025,0.016,0.017,0.013,0.023,0.018,0.014,0.062,0.612
in,0.042,0.011,0.984,0.975,0.967,0.953,0.939,0.915,0.874,0.764,0.447,0.737
another,0.049,0.016,0.031,0.024,0.014,0.013,0.013,0.018,0.016,0.022,0.043,0.652
words,0.015,0.965,0.997,0.996,0.995,0.994,0.992,0.989,0.985,0.979,0.957,0.76
from,0.041,0.008,0.847,0.847,0.811,0.763,0.692,0.571,0.454,0.298,0.17,0.749
into,0.053,0.036,0.048,0.054,0.036,0.044,0.028,0.03,0.037,0.023,0.102,0.711
nations,0.011,0.968,0.998,0.997,0.997,0.995,0.994,0.991,0.988,0.981,0.955,0.76
by,0.051,0.006,0.784,0.775,0.728,0.66,0.575,0.455,0.35,0.234,0.152,0.742
shared,0.008,0.021,0.016,0.018,0.009,0.015,0.02,0.03,0.03,0.022,0.045,0.812
interests,0.043,0.017,0.016,0.015,0.016,0.016,0.021,0.026,0.046,0.047,0.116,0.694
history,0.035,0.023,0.026,0.011,0.011,0.011,0.011,0.021,0.023,0.017,0.04,0.732
or,0.036,0.006,0.901,0.865,0.836,0.775,0.71,0.607,0.498,0.333,0.187,0.747
institutions,0.009,0.01,0.011,0.013,0.032,0.033,0.016,0.015,0.018,0.019,0.012,0.324
a,0.024,0.987,0.999,0.999,0.998,0.997,0.997,0.996,0.994,0.991,0.982,0.808
group,0.036,0.017,0.985,0.982,0.975,0.967,0.957,0.94,0.913,0.863,0.589,0.54
of,0.039,0.008,0.672,0.659,0.618,0.547,0.461,0.351,0.265,0.175,0.126,0.715
having,0.099,0.99,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.995,0.99,0.889
common,0.052,0.027,0.017,0.023,0.015,0.013,0.011,0.021,0.011,0.011,0.03,0.716
convert,0.795,0.992,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.995,0.932
as,0.028,0.035,0.986,0.98,0.974,0.965,0.954,0.937,0.911,0.843,0.596,0.738
if,0.133,0.989,0.999,0.999,0.999,0.998,0.998,0.997,0.996,0.994,0.989,0.836
with,0.055,0.008,0.523,0.509,0.495,0.438,0.387,0.297,0.23,0.168,0.128,0.683
heat,0.003,0.984,0.999,0.998,0.998,0.998,0.997,0.996,0.995,0.992,0.985,0.858
chemical,0.061,0.021,0.022,0.012,0.011,0.008,0.005,0.008,0.009,0.01,0.031,0.714
process,0.014,0.957,0.997,0.996,0.995,0.993,0.992,0.989,0.985,0.979,0.952,0.812
means,0.06,0.029,0.037,0.032,0.03,0.022,0.025,0.036,0.056,0.06,0.174,0.729
action,0.045,0.02,0.024,0.026,0.018,0.016,0.015,0.02,0.016,0.011,0.056,0.749
adapt,0.779,0.989,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.994,0.912
to,0.017,0.379,0.991,0.987,0.983,0.976,0.968,0.955,0.939,0.903,0.744,0.807
an,0.312,0.991,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.995,0.99,0.883
study,0.005,0.982,0.999,0.998,0.998,0.998,0.997,0.996,0.995,0.993,0.986,0.861
work,0.006,0.975,0.998,0.997,0.996,0.995,0.993,0.991,0.988,0.982,0.962,0.859
oneself,0.058,0.025,0.036,0.057,0.058,0.045,0.05,0.07,0.074,0.061,0.097,0.568
special,0.07,0.025,0.024,0.023,0.017,0.012,0.011,0.009,0.015,0.015,0.026,0.678
area,0.019,0.873,0.994,0.993,0.991,0.988,0.985,0.98,0.972,0.961,0.898,0.802
wooden,0.043,0.033,0.039,0.033,0.029,0.015,0.018,0.024,0.043,0.042,0.157,0.511
porch,0.037,0.014,0.024,0.022,0.025,0.04,0.014,0.018,0.033,0.049,0.141,0.79
house,0.062,0.021,0.024,0.029,0.02,0.027,0.028,0.03,0.034,0.026,0.052,0.742
that,0.022,0.938,0.996,0.994,0.993,0.99,0.985,0.981,0.974,0.959,0.887,0.82
the,0.063,0.988,0.999,0.999,0.999,0.998,0.997,0.996,0.995,0.992,0.984,0.785
deck,0.051,0.015,0.015,0.012,0.012,0.006,0.008,0.04,0.04,0.028,0.123,0.536
on,0.041,0.007,0.972,0.956,0.945,0.924,0.894,0.849,0.772,0.592,0.3,0.747
ship,0.046,0.023,0.029,0.028,0.025,0.032,0.036,0.052,0.104,0.094,0.175,0.574
either,0.005,0.987,0.999,0.999,0.998,0.998,0.997,0.997,0.995,0.993,0.986,0.817
half,0.024,0.045,0.036,0.028,0.019,0.017,0.015,0.019,0.024,0.029,0.022,0.707
bow,0.103,0.035,0.021,0.035,0.016,0.007,0.003,0.017,0.01,0.011,0.025,0.687
two,0.01,0.981,0.998,0.998,0.997,0.997,0.996,0.994,0.992,0.988,0.976,0.816
handle,0.009,0.986,0.999,0.999,0.999,0.998,0.998,0.998,0.997,0.996,0.991,0.878
device,0.016,0.032,0.048,0.039,0.023,0.017,0.011,0.012,0.01,0.017,0.058,0.547
is,0.054,0.011,0.85,0.826,0.787,0.717,0.647,0.544,0.419,0.287,0.169,0.639
